Food Item,Serving Size,Calories,Total Fat,Total Carb,Sat Fat,Dietary Fiber,Trans Fat,Sugar,Cholesterol,Protein,Sodium,Dietary Restrictions
Buttermilk Pancakes,2 ea,162,1.6g,33.4g,0.1g,0.7g,0g,6.1g,0mg,3.4g,423.9mg,"Vegetarian, Soy, Egg, Milk, Halal"
Cage-Free Scrambled Eggs,3 oz,50,0.9g,1.4g,0.2g,0g,0g,1.4g,0mg,8.4g,160.3mg,"Vegetarian, Egg, Gluten Friendly, Halal"
Hard-boiled Cage Free Egg (1),1 ea,86,5.8g,0.4g,1.9g,0g,0g,0.2g,225mg,7.6g,85.9mg,"Vegetarian, Egg, Gluten Friendly, Halal"
Harissa Potatoes,3 oz,104,4.1g,15g,0.7g,1.3g,0g,1.8g,0mg,1.8g,21.9mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Natural Bridges Tofu Scramble,4 oz,154,10.1g,5.4g,1.5g,2.4g,0g,1.1g,0mg,14.1g,228.8mg,"Vegan, Soy, Gluten Friendly, Vegetarian, Halal"
Organic Gluten-Free Oatmeal,6 ozl,191,3.1g,33.6g,0.6g,0g,0g,0g,0mg,6.4g,230.6mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Turkey Sausage Patties,2 ea,150,10g,1g,3g,0g,0g,1g,49.9mg,12g,399.3mg,Gluten Friendly
Steamed Rice,4 oz,144,0g,33.2g,0g,0g,0g,0g,0mg,2.8g,21.2mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Apple Cinnamon Muffin,1 ea,283,14.3g,37.8g,1.7g,0.8g,0.1g,22.4g,0.4mg,1.9g,279.8mg,"Vegetarian, Soy, Egg, Milk, Alcohol, Halal"
Lemon Poppyseed Muffin,1 ea,288,15.2g,36.8g,1.8g,0.6g,0.1g,21.8g,0.4mg,2.1g,283.5mg,"Vegetarian, Soy, Egg, Milk, Alcohol, Halal"
Vegan Fruit and Peanut Granola,2 oz,269,13.9g,31.5g,2.8g,1.4g,0g,11.5g,0mg,6.6g,16.3mg,"Vegan, Peanuts, Tree Nut, Sesame, Gluten Friendly, Alcohol, Vegetarian, Halal"
Zucchini Bread,1 slice,501,26.4g,64.4g,3.1g,1.6g,0.1g,37.1g,0.7mg,3.7g,502.7mg,"Vegetarian, Soy, Egg, Milk, Alcohol, Halal"
Cinnamon Puffins Cereal,1 oz,95,0.9g,24.6g,0g,0g,0g,5.7g,0mg,1.9g,141.8mg,"Vegan, Vegetarian, Halal"
Cinnamon Toasters,1 oz,123,3.3g,22.7g,0.5g,0g,0g,9.5g,0mg,0.9g,132.3mg,"Vegan, Soy, Vegetarian, Halal"
Crunchy Maple Sunrise Cereal,1 ozl,21,0.2g,4.9g,0g,0.6g,0g,1.3g,0mg,0.3g,25.8mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Honey'd Corn Flakes,1 ozl,21,0.7g,4.8g,0g,0.1g,0g,0.7g,0mg,0.4g,18.8mg,"Vegetarian, Gluten Friendly, Halal"
Kellogg's Rice Krispies,1 oz,156,0g,31.9g,0g,0g,0g,9.9g,3.5mg,6.4g,198.5mg,"Vegetarian, Halal"
Leapin' Lemurs Organic Peanut Butter Chocolate Cereal,1 oz,126,1.6g,26.3g,0g,2.1g,0g,8.4g,0mg,2.1g,120.8mg,"Vegan, Soy, Peanuts, Gluten Friendly, Vegetarian, Halal"
Marshmallow Mateys,1 oz,113,0.9g,23.6g,0g,0g,0g,12.3g,0mg,1.9g,189mg,Pork
Organic Gluten-Free Corn Flakes,1 1/4 ozl,19,0g,4.3g,0g,0.1g,0g,0.4g,0mg,0.4g,14.4mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Organic Mesa Sunrise,1 ozl,21,0.3g,4.1g,0g,0g,0g,0.7g,0mg,0.5g,22.3mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Raisin Bran,1 oz,106,0.7g,21.6g,0g,0g,0g,9.6g,0mg,2.4g,163.4mg,"Vegetarian, Halal"
Sunrise Crunchy Cinnamon Cereal,1 ozl,21,0.2g,5g,0g,0.6g,0g,1.1g,0mg,0.4g,21.5mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Toasty Os,1 oz,101,2g,20.3g,0.5g,0g,0g,1g,0mg,3g,141.8mg,"Vegan, Soy, Vegetarian, Halal"
Tootie Frooties,1 oz,115,0.9g,24.8g,0g,0g,0g,13.3g,0mg,1.8g,132.9mg,"Vegan, Vegetarian, Halal"
Apples,2 oz,32,0.1g,7.8g,- g,0.5g,0g,5.9g,- mg,0.1g,0.6mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Applesauce,2 ozl,23,0g,5.6g,0g,0.9g,0g,5.1g,0mg,0g,0mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Banana,2 oz,50,0.2g,13g,0.1g,1.5g,0g,6.9g,0mg,0.6g,0.6mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Blueberries,2 oz,29,0.4g,6.9g,0g,1.5g,0g,4.8g,0mg,0.2g,0.6mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Cantaloupe Melon,2 oz,19,0.1g,4.6g,0g,0.5g,0g,4.2g,0mg,0.5g,9.1mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Cottage Cheese,2 oz,50,2.3g,2g,1.5g,0g,0g,2g,7.5mg,6.5g,200.7mg,"Vegetarian, Milk, Gluten Friendly, Halal"
Dried Apricot,1 oz,68,0.1g,17.8g,0g,2.1g,0g,15.2g,0mg,1g,2.8mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Dried Cranberries,1 oz,87,0.3g,23.5g,0g,1.5g,0g,20.6g,0mg,0g,1.4mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Dry Roasted Peanuts,1 oz,166,14.1g,6g,2.2g,2.4g,0g,1.4g,0mg,6.9g,1.7mg,"Vegan, Peanuts, Gluten Friendly, Vegetarian, Halal"
French Vanilla Coffee Creamer,1/2 ozl,31,1.3g,4.5g,0g,0g,0g,4.5g,0mg,0g,4.5mg,"Vegetarian, Milk, Tree Nut, Gluten Friendly, Halal"
Fresh Pineapple,2 oz,28,0.1g,7.4g,0g,0.8g,0g,5.6g,0mg,0.3g,0.6mg,"Gluten Friendly, Vegan, Vegetarian, Halal"
Fresh Pineapple,2 oz,28,0.1g,7.4g,0g,0.8g,0g,5.6g,0mg,0.3g,0.6mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Fuji Apples,1 ea,98,0.3g,26.1g,0.1g,4.5g,0g,19.6g,0mg,0.5g,1.9mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Green Grapes,2 oz,39,0.1g,10.3g,0g,0.5g,0g,8.8g,0mg,0.4g,1.1mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Half & Half,2 ozl,70,5.9g,2.7g,3.8g,0g,0.3g,2.3g,19.8mg,1.8g,34.6mg,"Vegetarian, Milk, Gluten Friendly, Halal"
Hazelnut Coffee Creamer,1/2 ozl,31,1.3g,4.5g,0g,0g,0g,4.5g,0mg,0g,4.5mg,"Vegetarian, Milk, Tree Nut, Gluten Friendly, Halal"
Honeydew Melon,2 oz,20,0.1g,5.2g,0g,0.5g,0g,4.6g,0mg,0.3g,10.2mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Mandarins,1 ea,48,0.3g,12.1g,0g,1.6g,0g,9.6g,0mg,0.7g,1.8mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Mango,2 oz,34,0.2g,8.5g,0.1g,0.9g,0g,7.6g,0mg,0.5g,0.6mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Oranges,1 ea,75,0.2g,18.7g,0g,3.8g,0g,14.9g,0mg,1.5g,0mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Organic Vegan Sugar,1/4 oz,27,0g,7.1g,- g,0g,0g,7.1g,0mg,0g,0mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Pear Slices,2 oz,32,0g,8.6g,0g,0.9g,0g,6.9g,0mg,0.1g,2.8mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Pears,2 oz,35,0.1g,9.3g,0g,1.9g,0g,6g,0mg,0.2g,0.6mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Pineapple Chunks,2 oz,34,0g,8.9g,0g,0.6g,0g,8.2g,0mg,0.2g,0.6mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Plain Cashew Milk Yogurt,4 oz,83,5.3g,6.8g,1.1g,0.8g,0g,0.8g,0mg,2.3g,3.8mg,"Vegan, Tree Nut, Gluten Friendly, Vegetarian, Halal"
Plain Coconut Milk Yogurt,1/4 ea,80,4.5g,12g,4g,0g,0g,8g,0mg,0g,5mg,"Vegan, Gluten Friendly, Tree Nut, Vegetarian, Halal"
Plain Soy Milk Yogurt,2 oz,37,1.3g,3.3g,0.2g,0.7g,0g,1.7g,0mg,2.3g,21.7mg,"Vegan, Soy, Gluten Friendly, Vegetarian, Halal"
Plain Yogurt,4 oz,69,3.7g,5.3g,2.4g,0g,- g,5.3g,14.7mg,3.9g,52.2mg,"Vegetarian, Milk, Gluten Friendly, Halal"
Pure Clover Honey,1 ozl,86,0g,23g,0g,0g,0g,21.5g,0mg,0.2g,0.8mg,"Vegetarian, Gluten Friendly, Halal"
Raisins,1 oz,85,0.1g,22.4g,0g,1g,0g,16.8g,0mg,0.9g,3.1mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Red Apples,1 ea,96,0.3g,23g,- g,1.5g,0g,17.1g,- mg,0.4g,1.6mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Red Grapes,2 oz,39,0.1g,10.3g,0g,0.5g,0g,8.8g,0mg,0.4g,1.1mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Ruby Red Grapefruit,1/2 ea,88,0.3g,22.4g,0g,3.4g,0g,14.5g,0mg,1.6g,0mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Sliced Almonds,1 oz,164,14.2g,6.1g,1.1g,0g,0g,1.2g,0mg,6g,0.3mg,"Vegan, Peanuts, Tree Nut, Gluten Friendly, Vegetarian, Halal"
Sliced Peaches,2 oz,27,0g,7.3g,0g,0.5g,0g,6.9g,0mg,0.5g,0mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Splenda,1 ea,4,0g,1g,0g,0g,0g,0g,0mg,0g,0mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Strawberries,2 oz,18,0.2g,4.4g,0g,1.1g,0g,2.8g,0mg,0.4g,0.6mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Sunflower Seeds,1 oz,134,11.3g,4.9g,1.2g,0g,0g,0g,0mg,5.7g,0mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Sweetened Shredded Coconut,1 oz,142,10.1g,13.5g,8.9g,1.3g,- g,12.2g,0mg,0.8g,74.3mg,"Vegan, Tree Nut, Gluten Friendly, Alcohol, Vegetarian, Halal"
Tropical Fruit Salad,2 oz,33,0g,7.4g,0g,0.9g,0g,6.5g,0mg,0.5g,0mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Unsweetened Coconut Milk Vegan Yogurt,4 ea,2074,121g,242g,121g,0g,0g,34.6g,0mg,0g,3283.9mg,"Vegan, Tree Nut, Gluten Friendly, Vegetarian, Halal"
Vanilla Cashew Milk Yogurt,4 oz,83,5.3g,6.8g,1.1g,0.8g,0g,0.8g,0mg,2.3g,3.8mg,"Vegan, Tree Nut, Gluten Friendly, Vegetarian, Halal"
Watermelon,2 oz,17,0.1g,4.3g,0g,0.2g,0g,3.5g,0mg,0.3g,0.6mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Whipped Cream,2 tbsp,15,1.3g,0.7g,0.8g,0g,- g,0.5g,4.3mg,0.2g,0.5mg,"Vegetarian, Milk, Gluten Friendly, Halal"
White Peach,2 oz,22,0.1g,5.4g,0g,0.8g,0g,4.6g,0mg,0.5g,0mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Whole Milk Greek Yogurt,4 ozl,105,4.8g,4.8g,3.2g,0g,0g,3.2g,24.2mg,10.5g,44.4mg,"Vegetarian, Milk, Gluten Friendly, Halal"
Yellow Peach,2 oz,22,0.1g,5.4g,0g,0.8g,0g,4.6g,0mg,0.5g,0mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
A1 Steak Sauce,1 ozl,26,0g,5.2g,0g,0g,0g,3.5g,0mg,0g,505.4mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Almond Butter,2 oz,337,30.1g,12.4g,2.7g,7.1g,0g,3.5g,0mg,12.4g,0mg,"Vegan, Tree Nut, Gluten Friendly, Vegetarian, Halal"
Annie's Balsamic Vinaigrette,1 ozl,103,10.3g,2.1g,1g,0g,0g,1g,0mg,0g,62.1mg,"Vegetarian, Gluten Friendly, Halal"
Annie's Organic French Dressing,1 ozl,110,10g,3g,1g,0g,0g,3g,0mg,0g,180mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Annie's Sesame Ginger Dressing,1 ozl,87,7.7g,3.9g,1g,0g,0g,2.9g,0mg,1g,241.9mg,"Vegetarian, Soy, Sesame, Gluten Friendly, Alcohol, Halal"
Annie's Vegan Lemon Tahini Dressing,1 ozl,119,11.9g,2g,1g,1g,0g,0g,0mg,1g,335.8mg,"Vegan, Soy, Sesame, Alcohol, Vegetarian, Halal"
Annie's Vegan Shiitake Sesame Dressing,1 ozl,130,13g,2g,1g,0g,0g,0g,0mg,1g,270mg,"Vegan, Soy, Sesame, Vegetarian, Halal"
Apricot Preserves,1 oz,64,0g,17g,0g,0g,0g,12.8g,0mg,0g,0mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
BBQ Sauce,1 ozl,37,0g,8.2g,0g,0g,0g,6.6g,0mg,0g,386.8mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Balsamic Vinaigrette,1 ozl,58,4.9g,4.9g,0.5g,0g,0g,3.9g,0mg,0g,194.3mg,"Vegan, Soy, Gluten Friendly, Vegetarian, Halal"
Balsamic Vinegar,1/2 oz,10,0g,2g,0g,0g,0g,2g,0mg,0g,0mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Blackberry Jam,1 each,36,0g,9.3g,0g,0g,0g,8.6g,0mg,0g,0mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
